id,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
77,Knockin' Boots,Luke Bryan,contemporary country,2019,132,68,74,-4,33,63,199,13,21,75
78,Trip,Ella Mai,deep pop r&b,2018,80,61,48,-6,11,36,214,23,14,75
79,Tequila,Dan + Shay,contemporary country,2018,86,58,49,-6,13,49,197,3,3,75
80,Eyes On You,Chase Rice,contemporary country,2017,97,65,61,-7,20,48,182,32,3,75
81,Simple,Florida Georgia Line,contemporary country,2019,200,88,36,-4,15,86,185,8,10,75
82,No Limit,G-Eazy,hip hop,2017,176,77,84,-4,9,41,245,1,24,75
83,Perfect,One Direction,boy band,2015,100,82,65,-5,12,40,230,6,8,75
84,El Perdón,Nicky Jam,latin,2017,180,69,63,-6,11,66,206,45,5,75
85,Use Somebody,Kings of Leon,modern rock,2008,137,72,28,-5,20,17,231,1,4,75
86,We Found Love,Rihanna,barbadian pop,2011,128,77,73,-4,11,60,215,3,4,74
87,Who Says,Selena Gomez & The Scene,dance pop,2011,101,93,68,-3,15,74,196,8,5,74
88,Knee Deep (feat. Jimmy Buffett),Zac Brown Band,contemporary country,2010,91,58,72,-8,10,61,203,43,3,74
89,Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,5,52,228,13,3,74
90,No Type,Rae Sremmurd,hip hop,2015,125,49,89,-8,9,24,200,2,16,74
91,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,74,-3,25,51,231,50,5,74
92,No Brainer,DJ Khaled,dance pop,2018,136,76,55,-5,9,64,260,7,34,74
93,Leave Me Alone,Flipp Dinero,hip hop,2018,150,74,79,-3,18,74,196,11,9,74
94,Clout (feat. Cardi B),Offset,atl hip hop,2019,140,62,92,-7,12,42,206,23,10,74
95,Dura,Daddy Yankee,latin,2018,95,84,78,-3,41,84,200,17,5,74
96,Adventure of a Lifetime,Coldplay,permanent wave,2015,112,92,64,-4,15,53,264,0,4,74
97,Still into You,Paramore,candy pop,2013,136,92,60,-4,6,77,216,1,4,74
98,Sure Thing,Miguel,dance pop,2010,81,60,68,-8,19,50,195,3,10,74
99,Barefoot Blue Jean Night,Jake Owen,contemporary country,2011,172,81,60,-5,20,81,167,21,4,73
100,American Kids,Kenny Chesney,contemporary country,2014,170,59,73,-7,4,87,183,5,10,73
101,Praying,Kesha,dance pop,2017,73,39,58,-7,11,32,230,49,3,73
102,How Long,Charlie Puth,dance pop,2018,110,56,85,-5,4,81,201,21,8,73
103,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,conscious hip hop,2018,137,71,65,-5,13,38,230,0,30,73
104,Worth It,YK Osiris,deep pop r&b,2019,124,54,75,-4,9,46,189,52,6,73
105,Good as You,Kane Brown,contemporary country,2019,154,52,63,-6,14,77,192,40,4,73
106,Walk Me Home,P!nk,dance pop,2019,88,45,65,-6,18,43,177,5,4,73
107,One Number Away,Luke Combs,contemporary country,2017,144,78,54,-6,19,53,222,1,3,73
108,Slippery (feat. Gucci Mane),Migos,atl hip hop,2017,142,67,92,-6,10,74,304,31,26,73
109,Small Town Boy,Dustin Lynch,contemporary country,2017,73,74,55,-6,36,67,206,3,3,73
110,Ayo,Chris Brown,dance pop,2015,98,56,82,-5,9,68,225,4,4,73
111,BURN IT DOWN,Linkin Park,alternative metal,2012,110,97,59,-4,7,59,230,1,5,73
112,Brave,Sara Bareilles,acoustic pop,2013,185,84,55,-4,4,76,221,1,5,72
113,Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66,-5,32,83,184,38,19,72
114,Sorry,Beyoncé,dance pop,2016,130,60,78,-7,25,36,233,0,5,72
115,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,conscious hip hop,2017,111,54,66,-9,20,42,227,3,6,72
116,All Time Low,Jon Bellion,pop rap,2016,90,57,62,-4,9,51,218,6,8,72
117,You Make It Easy,Jason Aldean,contemporary country,2018,132,57,38,-5,11,41,197,14,3,72
118,I Get the Bag (feat. Migos),Gucci Mane,atl hip hop,2017,140,63,89,-5,10,43,233,2,17,72
119,Talk You Out Of It,Florida Georgia Line,contemporary country,2019,120,71,65,-5,8,56,203,58,4,72
120,All To Myself,Dan + Shay,contemporary country,2018,95,78,65,-5,13,56,170,21,3,72
121,I'm Upset,Drake,canadian hip hop,2018,150,59,90,-8,8,49,214,28,34,72
122,Get Along,Kenny Chesney,contemporary country,2018,92,80,63,-6,17,35,200,10,5,72
123,Don't,Ed Sheeran,pop,2014,95,61,81,-7,64,85,220,1,7,72
124,That's My Kind Of Night,Luke Bryan,contemporary country,2013,110,75,66,-3,11,88,190,6,5,71
125,Swimming Pools (Drank),Kendrick Lamar,conscious hip hop,2012,74,45,58,-6,9,19,248,1,28,71
126,Ex's & Oh's,Elle King,,2015,140,92,61,-3,6,45,202,2,8,71
127,Close,Nick Jonas,dance pop,2016,124,62,65,-5,14,40,234,25,8,71
128,Say It,Tory Lanez,canadian hip hop,2016,107,53,55,-11,12,25,238,9,6,71
129,Marry Me,Thomas Rhett,contemporary country,2017,85,41,33,-9,11,47,205,10,3,71
130,Trampoline,SHAED,electropop,2018,127,41,69,-8,7,54,184,49,3,71
131,Beautiful,Bazzi,pop,2018,100,68,67,-6,10,18,178,21,3,71
132,Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,hip hop,2018,174,83,71,-5,12,58,332,2,15,71
133,Hard To Love,Lee Brice,contemporary country,2012,103,72,64,-6,19,47,224,1,3,71
134,Animal,Neon Trees,indie pop,2010,148,83,48,-6,37,74,212,0,4,71
135,Ho Hey,The Lumineers,folk-pop,2012,80,47,69,-9,9,35,163,79,3,70
136,Drunk On A Plane,Dierks Bentley,contemporary country,2014,206,73,42,-6,24,66,254,0,3,70
137,Marvin Gaye (feat. Meghan Trainor),Charlie Puth,dance pop,2015,110,62,80,-5,35,82,190,42,6,70
138,Habits (Stay High),Tove Lo,dance pop,2014,110,65,73,-4,8,35,209,7,3,70
139,"Sit Still, Look Pretty",Daya,dance pop,2016,182,74,66,-4,11,54,202,14,27,70
140,Chained To The Rhythm,Katy Perry,dance pop,2017,95,80,56,-5,20,47,238,8,11,70
141,Outside Today,YoungBoy Never Broke Again,baton rouge rap,2018,134,67,85,-5,11,6,129,14,7,70
142,I Know What You Did Last Summer,Shawn Mendes,canadian pop,2015,114,76,69,-5,15,74,224,10,9,70
143,Really Really,Kevin Gates,baton rouge rap,2016,119,67,76,-6,13,28,232,0,9,70
144,Tiimmy Turner,Desiigner,pop rap,2016,123,73,60,-3,8,30,240,17,4,70
145,Chandelier,Sia,australian dance,2015,117,79,40,-3,7,57,216,2,5,70
146,Partition,Beyoncé,dance pop,2014,186,44,41,-12,31,17,319,3,29,70
147,0 To 100 / The Catch Up,Drake,canadian hip hop,2013,177,72,56,-4,25,50,275,74,39,70
148,Wanted,Hunter Hayes,contemporary country,2011,170,48,42,-8,8,30,229,27,3,70
149,Somethin' 'Bout A Truck,Kip Moore,contemporary country,2012,176,79,55,-5,63,79,214,7,4,70
150,Best Thing I Never Had,Beyoncé,dance pop,2011,99,65,55,-4,9,30,254,14,3,70
151,Like A G6,Far East Movement,asian american hip hop,2010,125,84,44,-8,12,78,217,1,45,69
152,Shotta Flow,NLE Choppa,memphis hip hop,2019,120,43,89,-7,13,45,160,8,59,69
153,Humble And Kind,Tim McGraw,contemporary country,2015,101,48,36,-7,12,14,259,68,3,69
154,She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,33,44,202,0,13,69
155,I Don't Dance,Lee Brice,contemporary country,2014,92,56,59,-8,10,19,221,40,3,69
156,Adore You,Miley Cyrus,dance pop,2013,120,66,58,-5,11,20,279,11,3,69
157,Take A Back Road,Rodney Atkins,contemporary country,2011,170,86,58,-4,9,92,209,18,8,69
158,The Only Exception,Paramore,candy pop,2009,138,56,45,-7,14,21,268,14,3,69
159,Impossible - Main,Shontelle,barbadian pop,2010,90,62,60,-4,13,54,227,39,3,68
160,Crazy Girl,Eli Young Band,contemporary country,2011,151,65,37,-4,27,26,201,0,3,68
161,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2012,125,68,66,-7,37,25,252,25,4,68
162,2 On (feat. ScHoolboy Q),Tinashe,alternative r&b,2014,101,60,74,-8,11,43,227,15,11,68
163,New Flame (feat. Usher & Rick Ross),Chris Brown,dance pop,2014,142,63,70,-4,10,45,244,5,4,68
164,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7,71,246,13,4,68
165,All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,hip hop,2015,78,66,59,-5,12,25,224,2,20,68
166,Wildest Dreams,Taylor Swift,dance pop,2014,140,66,55,-7,11,47,220,7,7,68
167,Broccoli,DRAM,pop rap,2016,146,53,89,-7,6,71,225,24,13,68
168,What Lovers Do (feat. SZA),Maroon 5,pop,2018,110,60,80,-5,10,42,200,8,6,68
169,Mercy,Brett Young,contemporary country,2017,72,37,64,-8,10,22,217,84,3,68
170,Budapest,George Ezra,folk-pop,2015,128,46,72,-8,11,39,201,8,3,68
171,Amnesia,5 Seconds of Summer,boy band,2014,102,50,57,-5,21,11,237,3,3,68
172,23,Mike WiLL Made-It,atl hip hop,2013,140,60,86,-5,13,32,253,0,6,68
173,Downtown,Lady A,contemporary country,2013,170,83,53,-5,30,96,196,18,5,68
174,It's Time,Imagine Dragons,modern rock,2012,105,88,66,-5,14,86,238,2,4,68
175,Colder Weather,Zac Brown Band,contemporary country,2010,136,38,67,-7,12,20,274,46,3,68
176,Right Above It,Lil Wayne,hip hop,2010,76,84,38,-4,58,46,272,4,36,68
177,If I Die Young,The Band Perry,contemporary country,2010,131,50,61,-7,28,36,223,35,3,68
178,Smile,Uncle Kracker,country,2009,141,81,54,-4,42,61,202,20,3,68
179,Deuces (feat. Tyga & Kevin McCall),Chris Brown,dance pop,2011,74,74,69,-5,8,22,277,3,11,67
180,Lifestyle,Rich Gang,pop rap,2014,88,67,55,-5,9,47,270,2,27,67
181,Leave The Night On,Sam Hunt,contemporary country,2014,172,95,51,-4,35,84,192,10,6,67
182,LUV,Tory Lanez,canadian hip hop,2016,190,53,54,-8,12,25,229,1,25,67
183,Te Boté,Darell,latin,2018,97,60,92,-4,8,16,276,40,12,67
184,Kick The Dust Up,Luke Bryan,contemporary country,2015,172,86,60,-2,9,82,191,20,5,67
185,Back To Back,Drake,canadian hip hop,2015,87,48,89,-4,12,38,171,1,36,67
186,Come with Me Now,KONGOS,modern alternative rock,2014,104,73,65,-4,6,73,212,3,4,67
187,Studio,ScHoolboy Q,gangster rap,2014,134,59,71,-8,6,58,278,5,4,67
188,Mama's Broken Heart,Miranda Lambert,contemporary country,2011,112,81,77,-4,14,75,178,28,6,67
189,#thatPOWER,will.i.am,dance pop,2013,128,61,80,-6,7,40,280,0,6,67
190,Runnin' Outta Moonlight,Randy Houser,contemporary country,2013,172,80,53,-4,6,77,194,4,4,67
191,Even If It Breaks Your Heart,Eli Young Band,contemporary country,2011,208,53,50,-5,10,57,221,0,4,67
192,Forever,Drake,canadian hip hop,2009,158,93,42,-1,26,54,357,25,37,66
193,Pretty Girl Rock,Keri Hilson,dance pop,2010,160,87,67,-5,9,90,244,20,25,66
194,Teenage Dream,Katy Perry,dance pop,2010,120,80,72,-5,13,59,228,2,4,66
195,Let's Go (feat. Ne-Yo),Calvin Harris,dance pop,2012,128,88,71,-3,29,88,233,1,6,66
196,Pontoon,Little Big Town,contemporary country,2013,96,82,72,-6,20,87,212,41,3,66
197,Animals,Martin Garrix,big room,2013,128,87,68,-6,37,4,304,0,4,66
198,Water Under the Bridge,Adele,british soul,2016,95,84,60,-7,11,47,240,2,7,66
199,No Promises (feat. Demi Lovato),Cheat Codes,dance pop,2017,113,62,74,-7,11,58,223,6,16,66
200,Watch Me (Whip / Nae Nae),Silentó,pinoy hip hop,2015,140,76,82,-9,32,96,185,25,12,66
201,Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,49,-4,6,48,199,1,5,66
202,I Don't Want This Night To End,Luke Bryan,contemporary country,2011,112,73,62,-4,23,38,220,3,3,66
203,Diamonds,Rihanna,barbadian pop,2012,92,71,56,-5,11,39,225,0,5,66
204,Two Is Better Than One (feat. Taylor Swift),Boys Like Girls,neo mellow,2009,128,70,52,-5,10,25,243,19,3,65
205,Honey Bee,Blake Shelton,contemporary country,2011,206,85,48,-5,12,72,211,0,4,65
206,I Want Crazy - Encore,Hunter Hayes,contemporary country,2011,103,88,56,-5,11,56,237,5,4,65
207,Highway Don't Care,Tim McGraw,contemporary country,2013,158,79,47,-5,9,50,277,2,4,65
208,The Hanging Tree,James Newton Howard,scorecore,2014,54,7,21,-18,21,14,219,34,4,65
209,Lemon,N.E.R.D,hip hop,2017,95,73,92,-7,12,20,220,0,9,65
210,Everyday We Lit (feat. PnB Rock),YFN Lucci,arkansas hip hop,2017,156,65,76,-5,8,59,197,13,11,65
211,The Fighter,Keith Urban,australian country,2016,132,85,68,-5,20,76,184,3,5,65
212,All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,dance pop,2016,95,79,69,-5,5,76,211,2,5,65
213,Blessings,Big Sean,detroit hip hop,2015,119,62,79,-8,12,15,252,33,28,65
214,Here,Alessia Cara,canadian contemporary r&b,2015,120,82,38,-4,8,33,199,8,10,65
215,Beachin',Jake Owen,contemporary country,2013,182,90,53,-5,7,71,191,34,6,65
216,Get Your Shine On,Florida Georgia Line,contemporary country,2012,97,93,50,-5,41,61,222,0,4,65
217,You Da One,Rihanna,barbadian pop,2011,127,72,70,-5,13,86,200,50,4,65
218,Adorn,Miguel,dance pop,2012,179,58,63,-6,19,24,193,5,18,65
219,God Gave Me You,Blake Shelton,contemporary country,2011,152,84,48,-5,41,54,230,0,3,65
220,The House That Built Me,Miranda Lambert,contemporary country,2009,81,30,52,-8,12,21,237,57,3,65
221,American Honey,Lady A,contemporary country,2010,86,68,59,-5,14,12,225,51,3,65
222,Naturally,Selena Gomez & The Scene,dance pop,2009,133,90,61,-5,5,88,203,2,5,64
223,So Good,B.o.B,atl hip hop,2012,86,90,66,-5,22,59,213,4,14,64
224,The Fox (What Does the Fox Say?),Ylvis,comic,2013,128,87,70,-4,12,55,214,11,5,64
225,Somethin' Bad (with Carrie Underwood) - (Duet with Carrie Underwood),Miranda Lambert,contemporary country,2014,90,89,68,-5,6,48,170,5,6,64
226,It Goes Like This,Thomas Rhett,contemporary country,2013,168,84,54,-6,9,51,186,12,6,64
227,Bugatti,Ace Hood,dirty south rap,2013,130,59,60,-5,10,7,269,2,5,64
228,Don't Wanna Go Home,Jason Derulo,dance pop,2011,122,81,67,-5,13,64,206,2,7,64
229,Are You Gonna Kiss Me Or Not,Thompson Square,contemporary country,2011,152,70,49,-4,10,61,185,4,3,64
230,Teach Me How to Dougie,Cali Swag District,pop rap,2011,85,44,85,-5,9,51,237,20,14,64
231,My First Kiss (feat. Ke$ha),3OH!3,dance pop,2010,138,89,68,-4,36,83,192,1,8,63
232,Un-thinkable (I'm Ready),Alicia Keys,hip pop,2009,86,51,60,-8,11,34,249,73,6,63
233,Blown Away,Carrie Underwood,contemporary country,2012,137,84,53,-3,3,39,240,9,4,63
234,Pour It Up,Rihanna,barbadian pop,2012,134,48,79,-9,9,39,161,3,4,63
235,Dirt,Florida Georgia Line,contemporary country,2014,122,88,55,-4,11,59,231,6,5,63
236,Bottoms Up,Brantley Gilbert,contemporary country,2014,170,86,47,-6,13,55,220,11,4,63
237,Birthday,Katy Perry,dance pop,2013,126,67,72,-5,11,84,215,9,7,63
238,Truffle Butter,Nicki Minaj,dance pop,2015,105,67,89,-7,12,49,219,7,5,63
239,CoCo,O.T. Genasis,gangster rap,2014,120,63,89,-6,31,18,240,0,13,63
240,Cold (feat. Future),Maroon 5,pop,2018,100,72,69,-6,5,41,234,14,11,63
241,Back To Sleep,Chris Brown,dance pop,2015,93,65,65,-5,9,72,201,4,24,63
242,You and Tequila (feat. Grace Potter),Kenny Chesney,contemporary country,2010,136,45,69,-9,8,35,243,44,3,63
243,King of Anything,Sara Bareilles,acoustic pop,2010,119,76,68,-4,6,81,207,46,4,63
244,3,Britney Spears,dance pop,2009,135,71,70,-2,14,79,213,5,5,62
245,Climax,Usher,atl hip hop,2012,136,48,65,-9,16,33,233,55,8,62
246,"Work Hard, Play Hard",Wiz Khalifa,hip hop,2012,140,67,79,-4,30,49,219,4,5,62
247,Drank in My Cup,Kirko Bangz,deep pop r&b,2011,133,63,45,-8,20,23,232,1,30,62
248,Crash My Party,Luke Bryan,contemporary country,2013,144,82,53,-4,22,41,235,3,4,62
249,Down,Marian Hill,electropop,2016,113,36,68,-15,12,7,198,68,13,62
250,Cut It (feat. Young Dolph),O.T. Genasis,gangster rap,2015,130,67,88,-4,29,23,223,14,9,62
251,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2012,128,74,60,-3,9,46,217,11,4,62
252,Fly Over States,Jason Aldean,contemporary country,2010,82,74,49,-3,11,18,218,7,3,62
253,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,dance pop,2011,130,87,66,-3,23,56,210,3,4,62
254,Price Tag,Jessie J,dance pop,2011,175,83,64,-4,28,69,223,3,18,62
255,She Will,Lil Wayne,hip hop,2011,100,84,36,-5,24,8,306,0,12,62
256,For the First Time,The Script,celtic rock,2011,174,63,40,-5,18,36,253,3,3,61
257,Don't You Wanna Stay (with Kelly Clarkson),Jason Aldean,contemporary country,2010,144,63,45,-5,9,15,256,13,3,61
258,Without You (feat. Usher),David Guetta,dance pop,2011,128,61,61,-4,16,40,208,23,3,61
259,Back To December,Taylor Swift,dance pop,2010,142,67,53,-5,33,29,293,12,3,61
260,Good Girl,Carrie Underwood,contemporary country,2012,129,84,62,-3,19,74,206,3,7,61
261,The Other Side,Jason Derulo,dance pop,2013,128,84,56,-4,14,52,227,5,10,61
262,Carry On,fun.,baroque pop,2012,145,69,39,-6,8,37,278,12,7,61
263,Classic Man (feat. Roman GianArthur),Jidenna,ghanaian hip hop,2015,94,59,79,-6,29,59,226,19,3,61
264,Mi Gente (feat. Beyoncé),J Balvin,latin,2017,105,72,76,-6,23,47,210,2,8,61
265,Wicked,Future,atl hip hop,2016,158,68,72,-6,39,21,173,0,7,61
266,"White Walls (feat. ScHoolboy Q, Hollis)",Macklemore & Ryan Lewis,dance pop,2012,116,78,77,-6,34,83,220,5,14,61
267,Please Don't Go,Mike Posner,dance pop,2010,120,88,70,-4,13,66,197,0,3,61
268,Sweet Dreams,Beyoncé,dance pop,2008,122,83,69,-6,6,79,208,9,11,61
269,Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2009,111,82,50,-5,13,55,249,16,11,61
270,You And I,Lady Gaga,dance pop,2011,127,71,52,-5,9,51,307,8,5,60
271,Pound The Alarm,Nicki Minaj,dance pop,2011,125,86,73,-4,2,59,206,4,6,60
272,22,Taylor Swift,dance pop,2012,104,73,66,-7,8,67,230,0,4,60
273,Love Runs Out,OneRepublic,dance pop,2014,120,94,72,-4,10,74,224,17,6,60
274,Chains,Nick Jonas,dance pop,2015,76,61,59,-6,8,12,203,2,5,60
275,Say Something (feat. Chris Stapleton),Justin Timberlake,dance pop,2018,97,63,71,-7,8,37,279,10,8,60
276,Waves,Mr. Probz,dutch hip hop,2013,174,28,36,-12,38,20,174,54,4,60
277,Believe Me,Lil Wayne,hip hop,2014,92,49,84,-9,11,20,338,27,17,60
278,Take A Little Ride,Jason Aldean,contemporary country,2012,164,87,47,-4,21,78,188,4,4,60
279,My Last,Big Sean,detroit hip hop,2011,79,77,39,-6,21,37,254,10,17,60
280,"Lover, Lover",Jerrod Niemann,contemporary country,2010,112,57,88,-7,62,95,194,18,6,60
281,Come Over,Kenny Chesney,contemporary country,2012,176,70,47,-7,7,48,248,10,4,59
282,Birthday Cake,Rihanna,barbadian pop,2011,80,83,70,-6,36,33,78,32,5,59
283,Sure Be Cool If You Did,Blake Shelton,contemporary country,2013,137,73,58,-5,11,58,216,26,4,59
284,She Knows,Ne-Yo,dance pop,2015,140,57,71,-6,59,57,215,3,3,59
285,Life After You,Daughtry,alternative metal,2006,154,80,40,-3,41,36,207,6,4,59
286,Down In the DM (feat. Nicki Minaj) - Remix,Yo Gotti,dirty south rap,2016,153,63,79,-8,8,32,259,0,6,58
287,No Mediocre (feat. Iggy Azalea),T.I.,atl hip hop,2014,95,45,78,-10,8,18,202,8,5,58
